Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BROOKLYN/QUEENS,66BL,,
BROOKLYN/QUEENS,67BL,,
BROOKLYN/QUEENS,68BL,,
BROOKLYN/QUEENS,63BD,150,2018/6/20
BROOKLYN/QUEENS,64BD,30,2018/6/20
BROOKLYN/QUEENS,65BD,25,2018/6/20
BROOKLYN/QUEENS,66BD,85,2018/6/20
BROOKLYN/QUEENS,67BD,25,2018/6/20
BROOKLYN/QUEENS,68BD,95,2018/6/20
BROOKLYN/QUEENS,69BD,,
BROOKLYN/QUEENS,70BD,,
BROOKLYN/QUEENS,71BD,,
BROOKLYN/QUEENS,72BD,,
BROOKLYN/QUEENS,59BO,95,2018/6/20
BROOKLYN/QUEENS,60BO,,
BROOKLYN/QUEENS,61BO,,
BROOKLYN/QUEENS,62BO,,
BROOKLYN/QUEENS,63BO,,
BROOKLYN/QUEENS,64BO,,
BROOKLYN/QUEENS,65BO,,
BROOKLYN/QUEENS,59BM,,
BROOKLYN/QUEENS,60BM,,
BROOKLYN/QUEENS,61BM,,
BROOKLYN/QUEENS,62BM,,
BROOKLYN/QUEENS,63BM,,
BROOKLYN/QUEENS,64BM,,
BROOKLYN/QUEENS,65BM,,
BROOKLYN/QUEENS,66BM,,
BROOKLYN/QUEENS,67BM,,
BROOKLYN/QUEENS,68BM,,
BROOKLYN/QUEENS,59BN,50,2018/6/20
BROOKLYN/QUEENS,60BN,,
BROOKLYN/QUEENS,70AU,,
BROOKLYN/QUEENS,71AU,,
BROOKLYN/QUEENS,72AU,,
BROOKLYN/QUEENS,73AU,,
BROOKLYN/QUEENS,74AU,,
BROOKLYN/QUEENS,75AU,,
BROOKLYN/QUEENS,70AT,,
BROOKLYN/QUEENS,59BK,,
BROOKLYN/QUEENS,60BK,,
BROOKLYN/QUEENS,61BK,,
BROOKLYN/QUEENS,64BK,,
BROOKLYN/QUEENS,76AY,,
BROOKLYN/QUEENS,74AX,,
BROOKLYN/QUEENS,75AX,,
BROOKLYN/QUEENS,76AX,,
BROOKLYN/QUEENS,62AY,140,2018/6/20
BROOKLYN/QUEENS,63AY,250,2018/6/20
BROOKLYN/QUEENS,67AS,705,2018/6/20
BROOKLYN/QUEENS,68AS,,
BROOKLYN/QUEENS,69AS,120,2018/6/20
BROOKLYN/QUEENS,70AS,,
BROOKLYN/QUEENS,71AS,,
BROOKLYN/QUEENS,72AS,345,2018/6/20
BROOKLYN/QUEENS,73AS,,
BROOKLYN/QUEENS,74AS,,
BROOKLYN/QUEENS,75AS,,
BROOKLYN/QUEENS,76AS,,
BROOKLYN/QUEENS,57X,,
BROOKLYN/QUEENS,57Y,125,2018/6/20
BROOKLYN/QUEENS,58U,400,2018/6/20
BROOKLYN/QUEENS,58V,105,2018/6/20
BROOKLYN/QUEENS,58W,195,2018/6/20
BROOKLYN/QUEENS,58X,,
BROOKLYN/QUEENS,58Y,55,2018/6/20
BROOKLYN/QUEENS,59U,205,2018/6/20
BROOKLYN/QUEENS,59V,260,2018/6/20
BROOKLYN/QUEENS,59W,315,2018/6/20
BROOKLYN/QUEENS,59X,,
BROOKLYN/QUEENS,52AA,,
BROOKLYN/QUEENS,52AB,,
BROOKLYN/QUEENS,52Z,,
BROOKLYN/QUEENS,53U,765,2018/6/20
BROOKLYN/QUEENS,53V,445,2018/6/20
BROOKLYN/QUEENS,53W,285,2018/6/20
BROOKLYN/QUEENS,53X,280,2018/6/20
BROOKLYN/QUEENS,53Y,365,2018/6/20
BROOKLYN/QUEENS,53Z,,
BROOKLYN/QUEENS,54AA,,
BROOKLYN/QUEENS,54T,125,2018/6/20
BROOKLYN/QUEENS,54U,1120,2018/6/20
BROOKLYN/QUEENS,54V,355,2018/6/20
BROOKLYN/QUEENS,54W,245,2018/6/20
BROOKLYN/QUEENS,54X,300,2018/6/20
BROOKLYN/QUEENS,54Y,190,2018/6/20
BROOKLYN/QUEENS,54Z,,
BROOKLYN/QUEENS,55AA,,
BROOKLYN/QUEENS,55T,,
BROOKLYN/QUEENS,55U,200,2018/6/20
BROOKLYN/QUEENS,55V,450,2018/6/20
BROOKLYN/QUEENS,55W,215,2018/6/20
BROOKLYN/QUEENS,55X,435,2018/6/20
BROOKLYN/QUEENS,55Y,195,2018/6/20
BROOKLYN/QUEENS,55Z,130,2018/6/20
BROOKLYN/QUEENS,56T,,
BROOKLYN/QUEENS,56U,180,2018/6/20
BROOKLYN/QUEENS,56V,315,2018/6/20
BROOKLYN/QUEENS,56W,365,2018/6/20
BROOKLYN/QUEENS,56X,105,2018/6/20
BROOKLYN/QUEENS,56Y,,
BROOKLYN/QUEENS,56Z,90,2018/6/20
BROOKLYN/QUEENS,57U,445,2018/6/20
BROOKLYN/QUEENS,57V,435,2018/6/20
BROOKLYN/QUEENS,57W,160,2018/6/20
BROOKLYN/QUEENS,60U,100,2018/6/20
