,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Lat,Long,Zip,ZCTA
200,258,MANHATTAN,31F,4930,2018-06-20 00:00:00,31,F,40.76718059,73.98184711,10019,10019
201,259,MANHATTAN,31G,5254,2018-06-20 00:00:00,31,G,40.76565437,73.97821748,10019,10019
202,249,MANHATTAN,30G,6530,2018-06-20 00:00:00,30,G,40.76361619,73.97970164,10019,10019
203,248,MANHATTAN,30F,7170,2018-06-20 00:00:00,30,F,40.7651424,73.98333127,10019,10019
204,250,MANHATTAN,30H,7550,2018-06-20 00:00:00,30,H,40.76208997,73.97607201,10019,10019
205,261,MANHATTAN,31I,7550,2018-06-20 00:00:00,31,I,40.76260195,73.97095821,10019,10019
206,238,MANHATTAN,29G,8116,2018-06-20 00:00:00,29,G,40.761578,73.9811858,10019,10019
207,239,MANHATTAN,29H,8600,2018-06-20 00:00:00,29,H,40.76005178,73.97755617,10019,10019
208,221,MANHATTAN,27I,6715,2018-06-20 00:00:00,27,I,40.75444919,73.97689487,10020,10020
209,229,MANHATTAN,28H,7290,2018-06-20 00:00:00,28,H,40.75801359,73.97904033,10020,10020
210,318,MANHATTAN,36L,1010,2018-06-20 00:00:00,36,L,40.76821425,73.95264849,10021,10021
211,316,MANHATTAN,36J,1415,2018-06-20 00:00:00,36,J,40.77126668,73.95990775,10021,10021
212,315,MANHATTAN,36I,1645,2018-06-20 00:00:00,36,I,40.77279289,73.96353739,10021,10021
213,273,MANHATTAN,32K,1875,2018-06-20 00:00:00,32,K,40.76158771,73.96221478,10021,10021
214,306,MANHATTAN,35J,2040,2018-06-20 00:00:00,35,J,40.76922849,73.96139192,10021,10021
215,305,MANHATTAN,35I,2220,2018-06-20 00:00:00,35,I,40.7707547,73.96502155,10021,10021
216,317,MANHATTAN,36K,2340,2018-06-20 00:00:00,36,K,40.76974047,73.95627812,10021,10021
217,307,MANHATTAN,35K,2825,2018-06-20 00:00:00,35,K,40.76770228,73.95776229,10021,10021
218,308,MANHATTAN,35L,5440,2018-06-20 00:00:00,35,L,40.76617606,73.95413265,10021,10021
219,265,MANHATTAN,31M,135,2018-06-20 00:00:00,31,M,40.75649709,73.95643968,10022,10022
220,264,MANHATTAN,31L,1020,2018-06-20 00:00:00,31,L,40.75802331,73.96006931,10022,10022
221,254,MANHATTAN,30L,1265,2018-06-20 00:00:00,30,L,40.75598512,73.96155347,10022,10022
222,263,MANHATTAN,31K,1770,2018-06-20 00:00:00,31,K,40.75954952,73.96369894,10022,10022
223,255,MANHATTAN,31C,1840,2018-06-20 00:00:00,31,C,40.77175923,73.99273601,10022,10022
224,242,MANHATTAN,29K,2390,2018-06-20 00:00:00,29,K,40.75547314,73.96666727,10022,10022
225,253,MANHATTAN,30K,3100,2018-06-20 00:00:00,30,K,40.75751133,73.96518311,10022,10022
226,252,MANHATTAN,30J,4760,2018-06-20 00:00:00,30,J,40.75903755,73.96881274,10022,10022
227,241,MANHATTAN,29J,5471,2018-06-20 00:00:00,29,J,40.75699936,73.9702969,10022,10022
228,262,MANHATTAN,31J,5740,2018-06-20 00:00:00,31,J,40.76107573,73.96732858,10022,10022
229,240,MANHATTAN,29I,6470,2018-06-20 00:00:00,29,I,40.75852557,73.97392654,10022,10022
230,251,MANHATTAN,30I,7815,2018-06-20 00:00:00,30,I,40.76056376,73.97244237,10022,10022
231,281,MANHATTAN,33G,20,2018-06-20 00:00:00,33,G,40.76973075,73.97524915,10023,10023
232,313,MANHATTAN,36F,490,2018-06-20 00:00:00,36,F,40.77737153,73.97442629,10023,10023
233,270,MANHATTAN,32H,550,2018-06-20 00:00:00,32,H,40.76616635,73.97310368,10023,10023
234,303,MANHATTAN,35F,580,2018-06-20 00:00:00,35,F,40.77533334,73.97591045,10023,10023
235,282,MANHATTAN,33H,665,2018-06-20 00:00:00,33,H,40.76820454,73.97161951,10023,10023
236,280,MANHATTAN,33F,765,2018-06-20 00:00:00,33,F,40.77125697,73.97887878,10023,10023
237,312,MANHATTAN,36E,820,2018-06-20 00:00:00,36,E,40.77889775,73.97805592,10023,10023
238,324,MANHATTAN,37F,995,2018-06-20 00:00:00,37,F,40.77940972,73.97294212,10023,10023
239,292,MANHATTAN,34F,1330,2018-06-20 00:00:00,34,F,40.77329515,73.97739462,10023,10023
240,300,MANHATTAN,35C,1640,2018-06-20 00:00:00,35,C,40.77991198,73.98679935,10023,10023
241,311,MANHATTAN,36D,1760,2018-06-20 00:00:00,36,D,40.78042396,73.98168555,10023,10023
242,302,MANHATTAN,35E,1785,2018-06-20 00:00:00,35,E,40.77685956,73.97954009,10023,10023
243,301,MANHATTAN,35D,1985,2018-06-20 00:00:00,35,D,40.77838577,73.98316972,10023,10023
244,290,MANHATTAN,34D,2250,2018-06-20 00:00:00,34,D,40.77634758,73.98465388,10023,10023
245,279,MANHATTAN,33E,2375,2018-06-20 00:00:00,33,E,40.77278318,73.98250841,10023,10023
246,268,MANHATTAN,32E,2475,2018-06-20 00:00:00,32,E,40.77074499,73.98399258,10023,10023
247,269,MANHATTAN,32F,2540,2018-06-20 00:00:00,32,F,40.76921878,73.98036294,10023,10023
248,291,MANHATTAN,34E,2575,2018-06-20 00:00:00,34,E,40.77482137,73.98102425,10023,10023
249,336,MANHATTAN,38G,90,2018-06-20 00:00:00,38,G,40.7799217,73.96782833,10024,10024
