Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BRONX,20K,475,6/20/2018
BRONX,21K,570,6/20/2018
BRONX,22K,,
BRONX,23K,260,6/20/2018
BRONX,24K,530,6/20/2018
BRONX,25K,215,6/20/2018
BRONX,24AH,,
BRONX,20AI,,
BRONX,17AJ,,
BRONX,30X,,
BRONX,23M,355,6/20/2018
BRONX,24M,285,6/20/2018
BRONX,25M,265,6/20/2018
BRONX,26M,110,6/20/2018
BRONX,27M,,
BRONX,28M,940,6/20/2018
BRONX,29M,,
BRONX,30M,175,6/20/2018
BRONX,31M,210,6/20/2018
BRONX,32M,290,6/20/2018
BRONX,33M,225,6/20/2018
BRONX,24N,,
BRONX,25N,80,6/20/2018
BRONX,26N,,
BRONX,27N,20,6/20/2018
BRONX,30N,190,6/20/2018
BRONX,31N,295,6/20/2018
BRONX,32N,195,6/20/2018
BRONX,21Y,130,6/20/2018
BRONX,22Y,225,6/20/2018
BRONX,23Y,75,6/20/2018
BRONX,24Y,,
BRONX,25Y,,
BRONX,16Z,,
BRONX,17Z,,
BRONX,18Z,10,6/20/2018
BRONX,19Z,105,6/20/2018
BRONX,20Z,330,6/20/2018
BRONX,21Z,310,6/20/2018
BRONX,22Z,215,6/20/2018
BRONX,23Z,505,6/20/2018
BRONX,24Z,220,6/20/2018
BRONX,25Z,,
BRONX,21I,145,6/20/2018
BRONX,22I,175,6/20/2018
BRONX,23I,300,6/20/2018
BRONX,24I,510,6/20/2018
BRONX,25I,325,6/20/2018
BRONX,16S,400,6/20/2018
BRONX,17S,210,6/20/2018
BRONX,18S,520,6/20/2018
BRONX,19S,140,6/20/2018
BRONX,20S,60,6/20/2018
BRONX,32H,305,6/20/2018
BRONX,33H,460,6/20/2018
BRONX,16R,380,6/20/2018
BRONX,17R,510,6/20/2018
BRONX,18R,310,6/20/2018
BRONX,19R,240,6/20/2018
BRONX,20R,265,6/20/2018
BRONX,21R,105,6/20/2018
BRONX,22R,125,6/20/2018
BRONX,23R,260,6/20/2018
BRONX,24R,190,6/20/2018
BRONX,25R,145,6/20/2018
BRONX,10F,910,6/20/2018
BRONX,11F,425,6/20/2018
BRONX,12F,570,6/20/2018
BRONX,13F,255,6/20/2018
BRONX,14F,215,6/20/2018
BRONX,15F,1010,6/20/2018
BRONX,16F,232,6/20/2018
BRONX,17F,409,6/20/2018
BRONX,10E,420,6/20/2018
BRONX,11E,555,6/20/2018
BRONX,12E,485,6/20/2018
BRONX,13E,305,6/20/2018
BRONX,14E,390,6/20/2018
BRONX,15E,360,6/20/2018
BRONX,16E,450,6/20/2018
BRONX,17E,363,6/20/2018
BRONX,5AD,,
BRONX,4AE,,
BRONX,10A,30,6/20/2018
BRONX,11A,15,6/20/2018
BRONX,12A,490,6/20/2018
BRONX,13A,15,6/20/2018
BRONX,14A,,
BRONX,15A,175,6/20/2018
BRONX,16A,65,6/20/2018
BRONX,17A,,
BRONX,10B,687,6/20/2018
BRONX,11B,200,6/20/2018
BRONX,12B,365,6/20/2018
BRONX,13B,165,6/20/2018
BRONX,14B,600,6/20/2018
BRONX,15B,1615,6/20/2018
BRONX,16B,305,6/20/2018
BRONX,17B,815,6/20/2018
BRONX,10C,40,6/20/2018
BRONX,11C,430,6/20/2018
BRONX,15C,415,6/20/2018
BRONX,16C,185,6/20/2018
BRONX,17C,606,6/20/2018
BRONX,10D,575,6/20/2018
BRONX,11D,95,6/20/2018
BRONX,12D,1191,6/20/2018
BRONX,13D,1860,6/20/2018
BRONX,14D,550,6/20/2018
BRONX,15D,975,6/20/2018
BRONX,16D,310,6/20/2018
BRONX,17D,1331,6/20/2018
BRONX,5AA,,
BRONX,6AB,,
BRONX,6AC,,
BRONX,12C,1075,6/20/2018
BRONX,13C,327,6/20/2018
BRONX,14C,410,6/20/2018
BRONX,10G,90,6/20/2018
BRONX,11G,410,6/20/2018
BRONX,12G,630,6/20/2018
BRONX,13G,490,6/20/2018
BRONX,14G,280,6/20/2018
BRONX,15G,580,6/20/2018
BRONX,16G,670,6/20/2018
BRONX,17G,295,6/20/2018
BRONX,10H,495,6/20/2018
BRONX,11H,500,6/20/2018
BRONX,12H,135,6/20/2018
BRONX,13H,635,6/20/2018
BRONX,16O,460,6/20/2018
BRONX,17O,50,6/20/2018
BRONX,10Q,255,6/20/2018
BRONX,11Q,495,6/20/2018
BRONX,12Q,450,6/20/2018
BRONX,13Q,285,6/20/2018
BRONX,7T,,
BRONX,8T,,
BRONX,9T,360,6/20/2018
BRONX,14Q,110,6/20/2018
BRONX,15Q,185,6/20/2018
BRONX,16Q,140,6/20/2018
BRONX,17Q,485,6/20/2018
BRONX,10P,245,6/20/2018
BRONX,11P,290,6/20/2018
BRONX,12P,115,6/20/2018
BRONX,13P,340,6/20/2018
BRONX,14P,310,6/20/2018
BRONX,15P,355,6/20/2018
BRONX,16P,160,6/20/2018
BRONX,4U,,
BRONX,5U,,
BRONX,6U,,
BRONX,7U,,
BRONX,8U,,
BRONX,9U,440,6/20/2018
BRONX,7V,,
BRONX,8V,,
BRONX,9V,,
BRONX,9W,,
BRONX,8X,30,6/20/2018
BRONX,9X,,
BRONX,6Z,,
BRONX,7Z,,
BRONX,9Z,85,6/20/2018
BRONX,10AA,215,6/20/2018
BRONX,11AA,205,6/20/2018
BRONX,12AA,195,6/20/2018
BRONX,13AA,,
BRONX,14AA,,
BRONX,15AA,,
BRONX,16AA,,
BRONX,14H,240,6/20/2018
BRONX,15H,960,6/20/2018
BRONX,16H,820,6/20/2018
BRONX,17H,335,6/20/2018
BRONX,15U,155,6/20/2018
BRONX,16U,281,6/20/2018
BRONX,10V,,
BRONX,11V,,
BRONX,12V,,
BRONX,13V,35,6/20/2018
BRONX,14V,10,6/20/2018
BRONX,15V,70,6/20/2018
BRONX,16V,145,6/20/2018
BRONX,11J,410,6/20/2018
BRONX,10T,145,6/20/2018
