ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
247,BRONX,16L,455,6/20/2018,16,L,40.83456629,73.88698617,10460
163,BRONX,12K,460,6/20/2018,12,K,40.8251409,73.89057962,10460
272,BRONX,17Q,485,6/20/2018,17,Q,40.83766245,73.86631229,10460
308,BRONX,19M,515,6/20/2018,19,M,40.84167428,73.88325026,10460
328,BRONX,20M,690,6/20/2018,20,M,40.84399169,73.88339272,10460
329,BRONX,20N,690,6/20/2018,20,N,40.84414744,73.87922945,10460
267,BRONX,17L,715,6/20/2018,17,L,40.83688371,73.88712862,10460
298,BRONX,18Z,10,6/20/2018,18,Z,40.8413816,73.82898536,10461
316,BRONX,19Y,15,6/20/2018,19,Y,40.84354326,73.83329108,10461
315,BRONX,19X,25,6/20/2018,19,X,40.84338751,73.83745434,10461
369,BRONX,22U,30,6/20/2018,22,U,40.8498725,73.8503715,10461
194,BRONX,13W,40,6/20/2018,13,W,40.82932729,73.84076289,10461
387,BRONX,23U,50,6/20/2018,23,U,40.85218992,73.85051395,10461
297,BRONX,18X,70,6/20/2018,18,X,40.8410701,73.83731189,10461
355,BRONX,22AA,75,6/20/2018,22,AA,40.85080699,73.8253919,10461
390,BRONX,23Y,75,6/20/2018,23,Y,40.85281291,73.83386089,10461
317,BRONX,19Z,105,6/20/2018,19,Z,40.84369901,73.82912781,10461
314,BRONX,19V,110,6/20/2018,19,V,40.84307601,73.84578087,10461
421,BRONX,25S,110,6/20/2018,25,S,40.85651324,73.85912539,10461
353,BRONX,21Y,130,6/20/2018,21,Y,40.84817808,73.83357598,10461
257,BRONX,16V,145,6/20/2018,16,V,40.83612378,73.84535351,10461
389,BRONX,23W,180,6/20/2018,23,W,40.85250141,73.84218742,10461
296,BRONX,18W,195,6/20/2018,18,W,40.84091435,73.84147515,10461
294,BRONX,18U,200,6/20/2018,18,U,40.84060285,73.84980169,10461
351,BRONX,21V,205,6/20/2018,21,V,40.84771084,73.84606578,10461
373,BRONX,22Z,215,6/20/2018,22,Z,40.85065124,73.82955517,10461
346,BRONX,21N,220,6/20/2018,21,N,40.84646485,73.8793719,10461
406,BRONX,24Z,220,6/20/2018,24,Z,40.85528607,73.82984008,10461
372,BRONX,22Y,225,6/20/2018,22,Y,40.8504955,73.83371844,10461
404,BRONX,24V,230,6/20/2018,24,V,40.85466308,73.84649314,10461
354,BRONX,21Z,310,6/20/2018,21,Z,40.84833383,73.82941272,10461
334,BRONX,20Y,320,6/20/2018,20,Y,40.84586067,73.83343353,10461
295,BRONX,18V,325,6/20/2018,18,V,40.8407586,73.84563842,10461
335,BRONX,20Z,330,6/20/2018,20,Z,40.84601642,73.82927026,10461
405,BRONX,24W,445,6/20/2018,24,W,40.85481882,73.84232987,10461
391,BRONX,23Z,505,6/20/2018,23,Z,40.85296866,73.82969762,10461
277,BRONX,17V,575,6/20/2018,17,V,40.83844119,73.84549597,10461
352,BRONX,21W,725,6/20/2018,21,W,40.84786659,73.84190251,10461
371,BRONX,22W,775,6/20/2018,22,W,40.850184,73.84204497,10461
422,BRONX,25V,815,6/20/2018,25,V,40.85698049,73.84663559,10461
370,BRONX,22V,870,6/20/2018,22,V,40.85002825,73.84620823,10461
213,BRONX,14V,10,6/20/2018,14,V,40.83148895,73.84506861,10462
193,BRONX,13V,35,6/20/2018,13,V,40.82917154,73.84492615,10462
332,BRONX,20S,60,6/20/2018,20,S,40.84492618,73.85841312,10462
367,BRONX,22Q,60,6/20/2018,22,Q,40.84924951,73.86702456,10462
235,BRONX,15V,70,6/20/2018,15,V,40.83380637,73.84521106,10462
350,BRONX,21S,90,6/20/2018,21,S,40.84724359,73.85855558,10462
349,BRONX,21R,105,6/20/2018,21,R,40.84708785,73.86271884,10462
